announce_date,acquirer,target,sector,deal_value_cr,consideration_type,pct_cash,offer_premium_pct,ev_ebitda_multiple,pe_multiple,status,open_offer,notes,source_url
2019-01-07,Bandhan Bank,Gruh Finance,Financials,20254,stock,0,-7.0,,45.0,completed,0,ILLUSTRATIVE — verify; share-swap merger 568:1000,https://www.sebi.gov.in/filings/takeovers.html
2019-03-18,JSW Steel,Bhushan Power & Steel,Metals & Mining,19350,cash,100,,,,completed,0,VERIFIED — IBC resolution; NCLT approved Rs 19700 cr plan (Rs 19350 cr to financial creditors = 41% recovery on Rs 47158 cr claims) Sep 2019; closed Mar 2021; Supreme Court declared plan illegal and ordered liquidation May 2025; EV/EBITDA unverified,https://www.business-standard.com/companies/news/sc-rejects-jsw-steel-bhushan-power-resolution-plan-liquidation-125050201442_1.html
2019-06-18,Larsen & Toubro,Mindtree,IT Services,10733,cash,100,1.8,,,completed,1,VERIFIED — hostile takeover; bought 20.3% from V.G. Siddhartha at Rs 980; open offer at Rs 980 (1.8% over Rs 962.5 mkt); raised stake to 51%; total ~Rs 10733 cr; EV/EBITDA and P/E unverified,https://www.thenewsminute.com/money/lts-hostile-takeover-bid-mindtree-explained-98608
2018-12-03,Hindustan Unilever,GSK Consumer Healthcare,FMCG,31700,stock,0,,,,completed,0,VERIFIED — all-stock merger; swap 4.39 HUL per 1 GSK CH; announced 3 Dec 2018; effective 1 Apr 2020; consideration ~Rs 31700 cr; HUL gained Horlicks/Boost; EV/EBITDA and P/E unverified,https://www.thenewsminute.com/money/hul-completes-merger-gsk-consumer-healthcare-now-own-horlicks-brand-121666
2020-05-12,Vedanta Resources,Vedanta Ltd (delisting),Metals & Mining,17000,cash,100,9.9,,,withdrawn,0,ILLUSTRATIVE — verify; delisting offer failed on reverse book building,https://www.sebi.gov.in/filings/takeovers.html
2020-08-29,Reliance Retail,Future Group (retail assets),Retail,24713,cash,100,,,,withdrawn,0,ILLUSTRATIVE — verify; slump sale; terminated 2022 after lender vote,https://www.bseindia.com/corporates/ann.html
2020-08-31,Adani Airports,Mumbai International Airport (GVK),Infrastructure,12000,mixed,60,,,,completed,0,ILLUSTRATIVE — verify; stake purchase + debt assumption,https://www.nseindia.com/companies-listing/corporate-filings-announcements
2021-02-01,Tata Consumer Products,Kottaram Agro Foods (Soulfull),FMCG,156,cash,100,,,,completed,0,ILLUSTRATIVE — verify; small bolt-on acquisition,https://www.bseindia.com/corporates/ann.html
2021-03-31,Adani Ports,Gangavaram Port,Infrastructure,6200,mixed,40,,10.0,,completed,0,ILLUSTRATIVE — verify; staged acquisition; part stock consideration,https://www.nseindia.com/companies-listing/corporate-filings-announcements
2021-07-16,Reliance Industries,Just Dial,Consumer Tech,5720,cash,100,10.0,,30.0,completed,1,ILLUSTRATIVE — verify; control acquisition with open offer at Rs 1022,https://www.sebi.gov.in/filings/takeovers.html
2021-09-22,Sony Pictures Networks India,Zee Entertainment,Media,,stock,0,,,,withdrawn,0,ILLUSTRATIVE — verify; merger terminated Jan 2024,https://www.bseindia.com/corporates/ann.html
2021-11-29,Shriram Capital,Shriram Transport + Shriram City Union (merger),Financials,,stock,0,,,,completed,0,ILLUSTRATIVE — verify; group consolidation share-swap,https://www.bseindia.com/corporates/ann.html
2022-01-31,Tata Steel Long Products,Neelachal Ispat Nigam,Metals & Mining,12100,cash,100,,,,completed,0,ILLUSTRATIVE — verify; government divestment auction,https://www.nseindia.com/companies-listing/corporate-filings-announcements
2022-03-27,PVR,INOX Leisure,Media,5900,stock,0,20.0,,,completed,0,VERIFIED — all-stock merger; swap 3 PVR per 10 INOX; ~20% implied premium to INOX (24-Mar-2022 close); formed PVR INOX Ltd; deal_value approx INOX equity value; EV/EBITDA unverified,https://www.zeebiz.com/markets/stocks/news-pvr-inox-merger-record-date-ratio-share-price-nse-bse-news-impact-valuation-222434
2022-04-04,HDFC Bank,HDFC Ltd,Financials,304000,stock,0,,,,completed,0,VERIFIED — all-stock merger; swap 42 HDFC Bank per 25 HDFC Ltd; HDFC Ltd holders own 41% of bank; effective 1 Jul 2023; ~USD 40 bn (deal_value approx INR at announce); India's largest merger,https://www.hdfcbank.com/personal/about-us/news-room/press-release/2022/q2/hdfc-limited-and-hdfc-bank-limited-announce-a-transformational-merger
2022-05-15,Adani Group (Endeavour Trade),Ambuja Cements,Cement,51000,cash,100,7.0,,,completed,1,VERIFIED — Holcim India exit; Adani bought 63.19% Ambuja ~Rs 385/sh; open offer 26% at Rs 385 (~7% premium; ~Rs 19880 cr); part of USD 10.5 bn Ambuja+ACC deal; EV/EBITDA unverified,https://www.adani.com/newsroom/media-releases/adani-to-acquire-holcims-stake-in-ambuja-cements-and-acc-limited
2022-05-15,Adani Group (Endeavour Trade),ACC,Cement,,cash,100,7.0,,,completed,1,VERIFIED — acquired via Ambuja/Holcim (Holcim held 54.53% incl 50.05% via Ambuja); open offer 26% at Rs 2300 (~7% premium; ~Rs 11260 cr); part of USD 10.5 bn deal; EV/EBITDA unverified,https://www.adani.com/newsroom/media-releases/adani-to-acquire-holcims-stake-in-ambuja-cements-and-acc-limited
2022-06-24,Zomato,Blinkit (Grofers),Consumer Tech,4447,stock,0,,,,completed,0,ILLUSTRATIVE — verify; all-stock purchase of unlisted quick-commerce target,https://www.bseindia.com/corporates/ann.html
2022-08-23,Adani Group (AMG Media),NDTV,Media,990,cash,100,25.0,,,completed,1,ILLUSTRATIVE — verify; indirect acquisition via VCPL + open offer,https://www.sebi.gov.in/filings/takeovers.html
2022-10-24,Torrent Pharma,Curatio Healthcare,Pharma,2000,cash,100,,,,completed,0,ILLUSTRATIVE — verify; unlisted derma-focused target,https://www.bseindia.com/corporates/ann.html
2022-12-12,Dalmia Bharat,Jaiprakash Associates (cement assets),Cement,5666,cash,100,,9.0,,announced,0,ILLUSTRATIVE — verify; asset purchase; long-running closing,https://www.bseindia.com/corporates/ann.html
2023-03-30,Axis Bank,Citibank India (consumer business),Financials,12325,cash,100,,,,completed,0,ILLUSTRATIVE — verify; business purchase (announced Mar 2022; closed Mar 2023),https://www.bseindia.com/corporates/ann.html
2023-07-03,IDFC Ltd,IDFC First Bank (reverse merger),Financials,,stock,0,,,,completed,0,VERIFIED — reverse merger / holdco collapse; 155 IDFC First Bank shares per 100 IDFC Ltd; board approved 3 Jul 2023; RBI nod Dec 2023; effective 1 Oct 2024,https://www.idfcfirst.bank.in/content/dam/idfcfirstbank/pdf/news-media/press-release/Press-Release-Sept-2024-Merger-Final.pdf
2023-07-17,Proximus Opal,Route Mobile,IT Services,5922,cash,100,,,22.0,completed,1,ILLUSTRATIVE — verify; 57.6% stake + mandatory open offer,https://www.sebi.gov.in/filings/takeovers.html
2023-08-03,Ambuja Cements,Sanghi Industries,Cement,5000,cash,100,,,,completed,1,ILLUSTRATIVE — verify; distressed cement consolidation; open offer,https://www.sebi.gov.in/filings/takeovers.html
2023-09-21,Nirma,Glenmark Life Sciences,Pharma,5652,cash,100,,,,completed,1,VERIFIED — Nirma bought 75% of Glenmark Life from Glenmark Pharma at Rs 615/sh (~Rs 5652 cr); mandatory open offer 17.2% at Rs 631.2/sh; completed 12 Mar 2024; later renamed Alivus Life Sciences; EV/EBITDA and P/E unverified,https://www.business-standard.com/companies/news/nirma-completes-acquisition-of-75-stake-in-glenmark-life-sciences-124031201183_1.html
2023-10-29,AU Small Finance Bank,Fincare Small Finance Bank,Financials,4411,stock,0,,,,completed,0,ILLUSTRATIVE — verify; all-stock SFB merger 579:2000,https://www.bseindia.com/corporates/ann.html
2023-11-30,UltraTech Cement,Kesoram Industries (cement business),Cement,7600,stock,0,,11.0,,completed,0,ILLUSTRATIVE — verify; demerger + share swap 1:52,https://www.bseindia.com/corporates/ann.html
2024-01-12,Tata Consumer Products,Capital Foods (Ching's Secret),FMCG,5100,cash,100,,,,completed,0,ILLUSTRATIVE — verify; unlisted target; staged 75%+25%,https://www.bseindia.com/corporates/ann.html
2024-01-12,Tata Consumer Products,Organic India,FMCG,1900,cash,100,,,,completed,0,ILLUSTRATIVE — verify; unlisted wellness brand from Fabindia,https://www.bseindia.com/corporates/ann.html
2024-07-25,Mankind Pharma,Bharat Serums & Vaccines,Pharma,13630,cash,100,,,,completed,0,VERIFIED — Mankind to acquire 100% of Bharat Serums & Vaccines from Advent Intl at EV ~Rs 13630 cr; announced 25 Jul 2024; completed 23 Oct 2024 at ~Rs 13768 cr; unlisted target; women's health/fertility,https://www.mankindpharma.com/media/press-release/mankind-pharma-completes-landmark-acquisition-of-bsv/
2024-06-13,Adani Group (Ambuja),Penna Cement,Cement,10422,cash,100,,14.0,,completed,0,ILLUSTRATIVE — verify; unlisted south-India capacity buy,https://www.bseindia.com/corporates/ann.html
2024-10-22,Ambuja Cements,Orient Cement,Cement,8100,cash,100,12.27,,,completed,1,VERIFIED — Ambuja to acquire 46.8% of Orient Cement (37.9% promoters + 8.9% public) at equity value Rs 8100 cr; open offer 26% at Rs 395.40/sh = 12.27% premium to Rs 352.2 prev close; announced 22 Oct 2024; EV/EBITDA unverified,https://www.business-standard.com/markets/capital-market-news/ambuja-cements-to-46-8-stake-in-orient-cement-announces-open-offer-at-rs-395-40-share-124102200252_1.html
2024-11-29,Aster DM Healthcare,Quality Care India,Healthcare,,stock,0,,,,announced,0,ILLUSTRATIVE — verify; merger to create Aster DM Quality Care,https://www.bseindia.com/corporates/ann.html
2025-05-09,Sumitomo Mitsui Banking Corp,Yes Bank (20% stake),Financials,13483,cash,100,,,,completed,0,VERIFIED — SMBC to buy 20% of Yes Bank (~13.2% from SBI + rest from 7 banks) at ~Rs 21.50/sh; consideration ~Rs 13480 cr; PBR 1.4x; announced 9 May 2025; initial stake completed 17 Sep 2025,https://www.smbc.co.jp/news_e/pdf/e20250509_01.pdf
2025-06-27,JSW Paints,Akzo Nobel India,Chemicals,8986,cash,100,,,,announced,1,VERIFIED — JSW Paints to acquire up to 74.76% of Akzo Nobel India from Dutch parent for Rs 8986 cr (+ up to Rs 447 cr contingent); mandatory open offer 25.24% at Rs 3417.77/sh; announced 27 Jun 2025; EV/EBITDA and P/E unverified,https://www.business-standard.com/companies/news/jsw-paints-to-buy-akzo-nobel-india-in-1-08-billion-deal-to-boost-market-share-125062700199_1.html
2025-06-29,Torrent Pharma,JB Chemicals & Pharmaceuticals,Pharma,25689,cash,100,,,,announced,1,VERIFIED — Torrent to acquire controlling stake in JB Chemicals from KKR; SPA 46.39% at Rs 1600/sh (Rs 11917 cr); open offer 26% at Rs 1639.18/sh; then merger 51 Torrent per 100 JB; equity valuation Rs 25689 cr; announced 29 Jun 2025; EV/EBITDA and P/E unverified,https://www.businesswire.com/news/home/20250629033492/en/Torrent-Pharma-to-Acquire-Controlling-Stake-in-J.-B.-Chemicals-Pharmaceuticals-from-KKR
